Day,Day Tasks,Day Men,Day Hours,Base
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01']",1,1.5,FALSE
10,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01']",1,1.5,FALSE
11,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01']",1,1.5,FALSE
12,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01', '241000-00-01', '241000-00-01', '291300-00-01']",1,2.1,FALSE
13,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01']",1,1.5,FALSE
14,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01']",1,1.5,FALSE
15,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01', '282200-00-02', '282200-00-02', '335000-00-01', '774400-00-02']",1,2,FALSE
16,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01', '241000-00-01', '241000-00-01', '291300-00-01']",1,2.1,FALSE
17,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01', '243000-00-03', '261100-01-01', '261200-01-01']",1,1.9,FALSE
18,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01']",1,1.5,FALSE
19,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01', '335000-00-03']",1,1.6,FALSE
20,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01', '241000-00-01', '241000-00-01', '291300-00-01']",1,2.1,FALSE
21,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01']",1,1.5,FALSE
22,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01', '282200-00-02', '282200-00-02', '335000-00-01', '774400-00-02']",1,2,FALSE
23,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01']",1,1.5,FALSE
24,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01', '241000-00-01', '241000-00-01', '291300-00-01']",1,2.1,FALSE
25,"['062000-00-01', '321100-00-09', '321100-00-09', '324100-00-02', '324100-00-03', '324200-00-02', '351100-00-03', '723500-00-01', '761100-00-01']",1,1.5,FALSE
